"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","H/AB","R","HR","RBI","SO","SB","AVG","OPS","GP"
"*0512v*","Michael Harris II","ATL","OF","65","Rome","Active","25","@NYM Sun 1:40PM","83.25","99%","0%","73/241","33","14","41","52","3",".303",".849","66"
"*03pjd*","Josh Naylor","SEA","1B","66","45s","Active","28","@WSH Sun 1:35PM","83.1","98%","0%","67/266","27","8","32","38","13",".252",".683","67"
"*03ynj*","Juan Soto","NYM","OF","67","PAW","Active","27","ATL Sun 1:40PM","82.93","100%","0%","56/195","31","15","32","30","6",".287",".937","54"
"*03cag*","Kyle Schwarber","PHI","UT","68","GOATS","Active","33","@MIL Sun 2:10PM","82.88","100%","0%","63/255","42","24","42","104","1",".247",".937","67"
"*05udp*","Elly De La Cruz","CIN","SS","69","45s","Reserve","24","ARI Sun 1:40PM","82.69","100%","0%","65/232","40","12","37","76","10",".280",".855","58"
"*05t2b*","Daylen Lile","WSH","OF","71","45s","Active","23","SEA Sun 1:35PM","82.54","96%","0%","73/278","41","8","36","53","7",".263",".744","70"
"*05xu5*","Zach Neto","LAA","SS","72","Rome","Active","25","TB Sun 4:07PM","82.51","99%","0%","61/268","48","13","32","98","11",".228",".766","69"
"*04pkr*","Nico Hoerner","CHC","2B","74","ALASKA","Active","29","@SF Sun 3:10PM","81.97","99%","0%","67/279","26","4","34","21","12",".240",".656","70"
"*01s8u*","Mike Trout","LAA","OF,UT","75","ALASKA","Active","34","TB Sun 4:07PM","81.45","99%","0%","56/249","51","15","32","78","7",".225",".837","70"
"*01cgo*","Freddie Freeman","LAD","1B","76","PAW","Active","36","@CHW Sun 2:10PM","81.4","100%","0%","71/258","38","10","37","50","2",".275",".828","68"
"*02z0s*","Aaron Judge","NYY","OF","79","GOATS","Reserve","34","@TOR Sun 1:37PM","81.29","100%","0%","53/214","43","17","38","72","5",".248",".907","59"
"*05yby*","Kevin McGonigle","DET","3B,SS","81","Rome","Active","21","@CLE Sun 1:40PM","81.08","99%","0%","71/256","44","4","24","40","9",".277",".790","68"
"*03mew*","Luis Arraez","SF","1B,2B","82","BOS","Active","29","CHC Sun 3:10PM","81.03","95%","0%","88/272","35","2","26","13","5",".324",".798","68"
"*05xch*","Junior Caminero","TB","3B","83","PAW","Active","22","@LAA Sun 4:07PM","80.95","100%","0%","69/253","41","14","30","50","0",".273",".855","67"
"*0326s*","Ketel Marte","ARI","2B","89","DOB","Active","32","@CIN Sun 1:40PM","80.29","100%","0%","67/267","38","11","40","45","0",".251",".744","66"
"*05y3u*","Munetaka Murakami","CHW","1B,3B","90","SUGA","Reserve","26","LAD Sun 2:10PM","80.25","99%","0%","48/200","43","20","41","80","1",".240",".938","57"
"*06aw3*","JJ Wetherholt","STL","2B,SS","92","Rome","Reserve","23","@MIN Sun 2:10PM","80.1","99%","0%","62/246","44","9","28","48","7",".252",".749","64"
"*050w9*","Gunnar Henderson","BAL","SS","93","PAW","Active","24","SD Sun 1:35PM","79.69","100%","0%","66/295","39","14","33","80","6",".224",".711","70"
"*03oh0*","Willson Contreras","BOS","1B","94","MN","Active","34","TEX Sun 7:20PM","79.35","97%","0%","69/233","32","14","41","68","1",".296",".931","66"
"*03e5m*","Bryan Reynolds","PIT","OF","96","MN","Active","31","MIA Sun 12:15PM","79.31","98%","0%","67/253","45","7","41","66","5",".265",".809","71"
"*03nmw*","Ian Happ","CHC","OF","98","DOB","Active","31","@SF Sun 3:10PM","79.27","99%","0%","57/251","46","16","37","94","4",".227",".827","67"
"*04alp*","Ernie Clement","TOR","2B,3B,SS","99","DOB","Active","30","NYY Sun 1:37PM","79.24","93%","+1%","83/272","33","7","28","28","2",".305",".788","70"
"*04si3*","Brayan Rocchio","CLE","2B,SS","102","SUGA","Active","25","DET Sun 1:40PM","79.02","81%","-1%","61/223","28","5","32","33","12",".274",".752","69"
"*04hyc*","Ivan Herrera","STL","C","103","GOATS","Active","26","@MIN Sun 2:10PM","79.01","97%","0%","68/252","46","9","31","50","3",".270",".837","68"
"*02mzg*","Max Muncy","LAD","3B","105","45s","Active","35","@CHW Sun 2:10PM","78.48","96%","0%","58/213","46","16","28","59","0",".272",".912","65"
"*045qo*","Jazz Chisholm Jr.","NYY","2B,3B","111","45s","Active","28","@TOR Sun 1:37PM","77.86","99%","0%","55/240","34","9","29","77","18",".229",".710","66"
"*04yig*","Brooks Lee","MIN","2B,3B,SS","113","ALASKA","Active","25","STL Sun 2:10PM","77.61","83%","-1%","59/246","31","11","39","45","3",".240",".717","68"
"*03pit*","Trent Grisham","NYY","OF","114","PAW","Inj Res","29","@TOR Sun 1:37PM","77.52","89%","+1%","52/224","40","8","35","42","6",".232",".747","66"
"*041q8*","Brandon Marsh","PHI","OF","116","DOB","Active","28","@MIL Sun 2:10PM","77.34","89%","+1%","76/232","36","8","32","59","6",".328",".861","65"
"*04q2n*","Adley Rutschman","BAL","C","117","PAW","Active","28","SD Sun 1:35PM","77.24","98%","0%","50/185","26","8","40","29","0",".270",".841","51"
"*03ojr*","Vladimir Guerrero Jr.","TOR","1B","122","BOS","Active","27","NYY Sun 1:37PM","77.06","100%","0%","69/246","39","3","27","30","5",".280",".737","68"
"*05t9v*","Jonathan Aranda","TB","1B","124","SSP","Active","28","@LAA Sun 4:07PM","76.77","98%","0%","64/238","34","11","48","69","0",".269",".820","66"
"*0414g*","Luis Garcia Jr.","WSH","1B,2B","126","DOB","Active","26","SEA Sun 1:35PM","76.27","66%","+2%","56/215","28","9","43","34","2",".260",".755","65"
"*02c68*","Trea Turner","PHI","SS","127","BOS","Active","32","@MIL Sun 2:10PM","76.2","99%","0%","63/284","41","7","21","69","14",".222",".607","69"
"*0433b*","Ildemaro Vargas","ARI","1B,2B","129","AKR","Active","34","@CIN Sun 1:40PM","75.78","64%","-15%","60/221","31","7","37","22","1",".271",".733","60"
"*04y44*","Josh Jung","TEX","3B","130","SSP","Active","28","@BOS Sun 7:20PM","75.67","93%","0%","77/251","32","8","30","45","1",".307",".828","65"
"*04ydd*","Angel Martinez","CLE","2B,OF","134","ALASKA","Active","24","DET Sun 1:40PM","75.4","74%","-3%","54/226","28","11","33","53","9",".239",".719","66"
"*041qb*","Bo Bichette","NYM","3B,SS","136","KCP","Active","28","ATL Sun 1:40PM","75.07","98%","0%","66/280","34","8","40","52","1",".236",".644","70"
"*04pst*","Jarren Duran","BOS","OF","138","BOS","Active","29","TEX Sun 7:20PM","74.74","99%","0%","54/257","34","11","36","84","11",".210",".657","63"
"*05m49*","Jung Hoo Lee","SF","OF","141","PAW","Reserve","27","CHC Sun 3:10PM","74.44","87%","+5%","79/241","34","3","24","25","3",".328",".806","63"
"*060x1*","Wilyer Abreu","BOS","OF","142","SUGA","Active","26","TEX Sun 7:20PM","74.4","97%","0%","73/261","31","8","33","57","4",".280",".774","67"
"*04azv*","Jake Burger","TEX","1B","143","GOATS","Active","30","@BOS Sun 7:20PM","74.36","76%","-3%","62/250","32","12","42","71","1",".248",".747","68"
"*03pir*","Kyle Tucker","LAD","OF","145","KCP","Active","29","@CHW Sun 2:10PM","74.28","100%","0%","58/247","42","5","36","59","6",".235",".712","67"
"*05gsi*","Ceddanne Rafaela","BOS","2B,OF","146","AKR","Active","25","TEX Sun 7:20PM","74.28","93%","0%","68/234","29","7","32","52","7",".291",".804","66"
"*05gtn*","Tyler Soderstrom","ATH","1B,OF","147","ALASKA","Active","24","COL Sun 3:05PM","74.27","99%","0%","58/245","31","11","37","51","1",".237",".795","67"
"*04aee*","Jo Adell","LAA","OF","150","SUGA","Active","27","TB Sun 4:07PM","74.17","94%","-1%","69/277","33","10","39","69","3",".249",".684","71"
"*051ia*","Spencer Horwitz","PIT","1B","151","PAW","Active","28","MIA Sun 12:15PM","74.17","67%","0%","61/213","29","9","31","33","1",".286",".846","66"
"*0512e*","Spencer Steer","CIN","1B,2B,OF","153","SSP","Active","28","ARI Sun 1:40PM","74.02","92%","0%","59/235","41","10","26","56","3",".251",".763","67"
"*06aly*","Carson Benge","NYM","OF","155","PAW","Active","23","ATL Sun 1:40PM","73.91","91%","+1%","61/241","36","7","26","58","10",".253",".701","67"
"*05yb0*","T.J. Rumfield","COL","1B","157","ALASKA","Active","26","@ATH Sun 3:05PM","73.59","62%","-2%","66/237","29","8","32","40","0",".278",".809","69"
"*04t9b*","Michael Busch","CHC","1B","160","MN","Active","28","@SF Sun 3:10PM","73.19","96%","0%","64/253","31","8","42","70","2",".253",".794","70"
"*03wha*","Ronald Acuna Jr.","ATL","OF","162","AKR","Inj Res","28","@NYM Sun 1:40PM","73.06","100%","0%","49/195","31","7","22","52","15",".251",".793","53"
"*025gb*","Xander Bogaerts","SD","SS","166","MN","Active","33","@BAL Sun 1:35PM","72.71","86%","-4%","53/229","29","8","27","47","9",".231",".664","64"
"*06fzu*","Kazuma Okamoto","TOR","1B,3B","168","SUGA","Active","29","NYY Sun 1:37PM","72.62","96%","0%","58/251","34","15","41","92","0",".231",".753","69"
"*05rch*","Colson Montgomery","CHW","3B,SS","169","Rome","Active","24","LAD Sun 2:10PM","72.51","98%","0%","53/243","32","16","38","84","1",".218",".782","66"
