"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","H/AB","R","HR","RBI","SO","SB","AVG","OPS","GP"
"*06dn6*","CJ Kayfus","CLE","OF","1058","AKR","Reserve","24","DET Sun 1:40PM","26.17","19%","0%","4/22","4","1","2","8","0",".182",".644","9"
"*05ajg*","Ha-seong Kim","ATL","SS","1060","MN","Active","30","@NYM Sun 1:40PM","26.11","23%","-2%","5/56","4","0","3","14","1",".089",".267","17"
"*05j8u*","Jhostynxon Garcia","PIT","OF","1063","ALASKA","Minors","23","MIA Sun 12:15PM","25.91","30%","-2%","7/35","2","0","2","10","0",".200",".472","13"
"*05rbw*","Esmerlyn Valdez","PIT","OF","1068","PAW","Reserve","22","MIA Sun 12:15PM","25.67","29%","0%","2/19","2","2","5","10","0",".105",".612","7"
"*05rcj*","Edwin Arroyo","CIN","2B,SS","1080","KCP","Minors","22","ARI Sun 1:40PM","25.11","41%","-9%","6/24","1","0","2","10","0",".250",".571","11"
"*05yj5*","LuJames Groover","ARI","3B","1082","SUGA","Reserve","24","@CIN Sun 1:40PM","25.01","20%","0%","5/22","0","0","2","4","0",".227",".519","6"
"*03pjl*","Ryan Mountcastle","BAL","1B","1088","BOS","Reserve","29","SD Sun 1:35PM","24.61","15%","0%","4/14","0","0","1","2","0",".286",".690","8"
"*0518m*","Jase Bowen","SD","OF","1107","DOB","Active","25","@BAL Sun 1:35PM","23.98","5%","-2%","3/21","2","0","0","8","2",".143",".325","8"
"*04qii*","Addison Barger","TOR","3B,OF","1138","SSP","Active","26","NYY Sun 1:37PM","22.64","70%","-1%","1/22","2","0","2","7","0",".045",".305","10"
"*05rcs*","Gabriel Gonzalez","MIN","OF","1150","SSP","Reserve","22","STL Sun 2:10PM","22.07","20%","0%","1/2","1","0","0","0","0",".500","1.250","1"
"*04qow*","Kevin Alcantara","CHC","OF","1172","GOATS","Minors","23","@SF Sun 3:10PM","21.39","33%","-1%","1/9","1","0","0","4","0",".111",".311","12"
"*05gss*","Jeferson Quero","MIL","C","1181","SUGA","Reserve","23","PHI Sun 2:10PM","20.93","27%","0%","0/1","0","0","0","0","0",".000",".500","1"
"*06hth*","Josh Adamczewski","MIL","SS","1236","45s","Minors","21","PHI Sun 2:10PM","0","18%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06582*","Luke Adams","MIL","1B,3B","1242","BOS","Minors","22","PHI Sun 2:10PM","0","14%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06psn*","Kevin Alvarez","HOU","OF","1340","AKR","Minors","18","@KC Sun 2:10PM","0","27%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06c78*","Franklin Arias","BOS","SS","1422","SUGA","Minors","20","TEX Sun 7:20PM","0","48%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06pg6*","Aiva Arquette","MIA","SS","1444","SUGA","Minors","22","@PIT Sun 12:15PM","0","38%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05yid*","Michael Arroyo","SEA","2B","1451","45s","Minors","21","@WSH Sun 1:35PM","0","36%","0%","0/0","0","0","0","0","0","0",".000","0"
"*071wa*","Wandy Asigen","NYM","SS","1461","SSP","Minors","16","ATL Sun 1:40PM","0","25%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05rcf*","Joshua Baez","STL","OF","1494","45s","Reserve","22","@MIN Sun 2:10PM","0","53%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06ps3*","Yorger Bautista","SEA","OF","1579","Rome","Minors","18","@WSH Sun 1:35PM","0","18%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05yed*","Eric Bitonti","MIL","1B","1677","SUGA","Minors","20","PHI Sun 2:10PM","0","11%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06hea*","Caleb Bonemer","CHW","3B,SS","1717","PAW","Minors","20","LAD Sun 2:10PM","0","43%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05jre*","Enrique Bradfield Jr.","BAL","OF","1754","BOS","Minors","24","SD Sun 1:35PM","0","22%","0%","0/0","0","0","0","0","0","0",".000","0"
"*0637j*","Josue Briceno","DET","C,1B","1786","PAW","Minors","21","@CLE Sun 1:40PM","0","41%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06kui*","Roldy Brito","COL","2B,OF","1803","KCP","Minors","19","@ATH Sun 3:05PM","0","20%","0%","0/0","0","0","0","0","0","0",".000","0"
"*066mx*","Starlyn Caba","MIA","SS","1890","AKR","Minors","20","@PIT Sun 12:15PM","0","13%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06mmx*","Juneiker Caceres","CLE","OF","1914","SUGA","Minors","18","DET Sun 1:40PM","0","19%","+1%","0/0","0","0","0","0","0","0",".000","0"
"*06f0q*","Kristian Campbell","BOS","2B","1950","MN","Reserve","23","TEX Sun 7:20PM","0","48%","-1%","0/0","0","0","0","0","0","0",".000","0"
"*06alq*","Billy Carlson","CHW","SS","1990","SSP","Minors","19","LAD Sun 2:10PM","0","27%","0%","0/0","0","0","0","0","0","0",".000","0"
"*04de1*","Triston Casas","BOS","1B","2023","SUGA","Inj Res","26","TEX Sun 7:20PM","0","41%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05mx9*","Felnin Celesten","SEA","SS","2088","Rome","Minors","20","@WSH Sun 1:35PM","0","32%","0%","0/0","0","0","0","0","0","0",".000","0"
"*066mn*","Yoeilin Cespedes","BOS","2B","2109","DOB","Minors","20","TEX Sun 7:20PM","0","12%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05yix*","Jaison Chourio","CLE","OF","2154","SUGA","Minors","21","DET Sun 1:40PM","0","29%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05u9y*","Max Clark","DET","OF","2176","SUGA","Reserve","21","@CLE Sun 1:40PM","0","62%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05ge1*","Ryan Clifford","NYM","1B,OF","2188","AKR","Reserve","22","ATL Sun 1:40PM","0","33%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05u1y*","Cam Collier","CIN","1B,3B","2209","KCP","Minors","21","ARI Sun 1:40PM","0","34%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06alk*","Charlie Condon","COL","1B","2224","ALASKA","Minors","23","@ATH Sun 3:05PM","0","59%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06pll*","Ethan Conrad","CHC","OF","2231","KCP","Minors","21","@SF Sun 3:10PM","0","36%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06o8q*","Ronny Cruz","WSH","SS","2343","GOATS","Minors","19","SEA Sun 1:35PM","0","21%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06hx4*","Kaelen Culpepper","MIN","SS","2358","SSP","Reserve","23","STL Sun 2:10PM","0","47%","+1%","0/0","0","0","0","0","0","0",".000","0"
"*067z9*","Kayson Cunningham","ARI","SS","2365","BOS","Minors","20","@CIN Sun 1:40PM","0","24%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06r9b*","Johan De Los Santos","PIT","2B,SS","2483","Rome","Reserve","17","MIA Sun 12:15PM","0","14%","0%","0/0","0","0","0","0","0","0",".000","0"
"*061zv*","Josue De Paula","LAD","OF","2490","ALASKA","Minors","21","@CHW Sun 2:10PM","0","54%","0%","0/0","0","0","0","0","0","0",".000","0"
"*067yc*","Leo De Vries","ATH","SS","2495","Rome","Reserve","19","COL Sun 3:05PM","0","63%","0%","0/0","0","0","0","0","0","0",".000","0"
"*066j0*","JD Dix","ARI","2B","2576","SUGA","Reserve","20","@CIN Sun 1:40PM","0","14%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06yd4*","Sebastian Dos Santos","STL","SS","2600","Rome","Reserve","18","@MIN Sun 2:10PM","0","10%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06626*","Alfredo Duno","CIN","C","2641","AKR","Reserve","20","ARI Sun 1:40PM","0","40%","0%","0/0","0","0","0","0","0","0",".000","0"
"*041sq*","Tommy Edman","LAD","2B,OF","2675","DOB","Inj Res","31","@CHW Sun 2:10PM","0","44%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06423*","Aroon Escobar","PHI","2B","2716","SSP","Minors","21","@MIL Sun 2:10PM","0","18%","0%","0/0","0","0","0","0","0","0",".000","0"
"*066sx*","Jonny Farmelo","SEA","OF","2773","Rome","Minors","21","@WSH Sun 1:35PM","0","32%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05g3k*","Yanquiel Fernandez","NYY","OF","2811","BOS","Reserve","23","@TOR Sun 1:37PM","0","7%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06qyu*","Gavin Fien","WSH","3B,SS","2823","SSP","Minors","19","SEA Sun 1:35PM","0","27%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06nv7*","Victor Figueroa","BAL","1B","2832","DOB","Minors","22","SD Sun 1:35PM","0","7%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06k7t*","Andrew Fischer","MIL","3B","2837","PAW","Minors","22","PHI Sun 2:10PM","0","39%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06p5z*","Devin Fitz-Gerald","WSH","SS","2843","AKR","Minors","20","SEA Sun 1:35PM","0","29%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06mh4*","Edward Florentino","PIT","OF","2859","SUGA","Minors","19","MIA Sun 12:15PM","0","47%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05raw*","Harry Ford","WSH","C","2887","AKR","Reserve","23","SEA Sun 1:35PM","0","40%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05r5e*","Angel Genao","CLE","3B,SS","3055","AKR","Reserve","22","DET Sun 1:40PM","0","33%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06cql*","Kendall George","LAD","OF","3063","ALASKA","Minors","21","@CHW Sun 2:10PM","0","12%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06qr6*","Nate George","BAL","OF","3064","Rome","Minors","20","SD Sun 1:35PM","0","27%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06hsz*","John Gil","ATL","SS","3081","KCP","Minors","20","@NYM Sun 1:40PM","0","21%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05u2m*","Theo Gillen","TB","OF","3087","SSP","Minors","20","@LAA Sun 4:07PM","0","36%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06mff*","Justin Gonzales","BOS","OF","3128","PAW","Minors","19","TEX Sun 7:20PM","0","29%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06ps2*","Josuar Gonzalez","SF","SS","3155","Rome","Minors","18","CHC Sun 3:10PM","0","41%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06y9r*","Taitn Gray","TB","C","3203","DOB","Minors","18","@LAA Sun 4:07PM","0","19%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05oek*","Elijah Green","WSH","OF","3205","GOATS","Minors","22","SEA Sun 1:35PM","0","11%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06rw2*","Steele Hall","CIN","SS","3291","SSP","Minors","18","ARI Sun 1:40PM","0","33%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06cqi*","Josh Hammond","KC","3B,SS","3304","SSP","Reserve","19","HOU Sun 2:10PM","0","22%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06pi0*","Eric Hartman","ATL","2B,OF","3345","Rome","Minors","19","@NYM Sun 1:40PM","0","30%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06ifw*","Josiah Hartshorn","CHC","1B,OF","3347","SSP","Reserve","19","@SF Sun 3:10PM","0","24%","+1%","0/0","0","0","0","0","0","0",".000","0"
"*071w9*","Luis Hernandez","SF","SS","3438","45s","Minors","17","CHC Sun 3:10PM","0","35%","0%","0/0","0","0","0","0","0","0",".000","0"
"*062cx*","Ethan Holliday","COL","SS","3527","Rome","Minors","19","@ATH Sun 3:05PM","0","52%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06eyu*","Zyhir Hope","LAD","OF","3544","AKR","Minors","21","@CHW Sun 2:10PM","0","48%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06f0p*","Cooper Ingle","CLE","C","3612","AKR","Reserve","24","DET Sun 1:40PM","0","25%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06c10*","Ike Irish","BAL","C,1B","3617","SSP","Reserve","22","SD Sun 1:35PM","0","32%","0%","0/0","0","0","0","0","0","0",".000","0"
"*062pp*","Xavier Isaac","TB","UT","3619","GOATS","Minors","22","@LAA Sun 4:07PM","0","32%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05u3v*","Walker Jenkins","MIN","OF","3661","45s","Reserve","21","STL Sun 2:10PM","0","62%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05rc5*","Termarr Johnson","PIT","2B","3708","MN","Minors","22","MIA Sun 12:15PM","0","29%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05tdk*","Druw Jones","ARI","OF","3718","GOATS","Minors","22","@CIN Sun 1:40PM","0","30%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06oo7*","Sean Keys","TOR","1B,3B","3796","PAW","Minors","23","NYY Sun 1:37PM","0","14%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06utg*","Dax Kilby","NYY","SS","3799","45s","Minors","19","@TOR Sun 1:37PM","0","38%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06cq7*","Seaver King","WSH","SS","3815","AKR","Reserve","23","SEA Sun 1:35PM","0","27%","0%","0/0","0","0","0","0","0","0",".000","0"
"*0596f*","Heston Kjerstad","BAL","OF","3830","KCP","Reserve","27","SD Sun 1:35PM","0","15%","-1%","0/0","0","0","0","0","0","0",".000","0"
"*060yn*","Luis Lara","MIL","OF","3921","DOB","Minors","21","PHI Sun 2:10PM","0","40%","+8%","0/0","0","0","0","0","0","0",".000","0"
"*067zb*","Jace LaViolette","CLE","OF","3882","SSP","Reserve","22","DET Sun 1:40PM","0","28%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06ich*","Jhonny Level","SF","SS","3983","45s","Minors","19","CHC Sun 3:10PM","0","28%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06mnk*","Tyson Lewis","CIN","SS","3990","GOATS","Minors","20","ARI Sun 1:40PM","0","22%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06y48*","Mason Ligenza","LAD","OF","3995","BOS","Minors","19","@CHW Sun 2:10PM","0","0%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06b72*","George Lombard Jr.","NYY","SS","4042","SSP","Reserve","21","@TOR Sun 1:37PM","0","51%","0%","0/0","0","0","0","0","0","0",".000","0"
"*07261*","Emanuel Luna","STL","OF","4102","AKR","Minors","17","@MIN Sun 2:10PM","0","13%","+2%","0/0","0","0","0","0","0","0",".000","0"
"*041ai*","Gavin Lux","TB","OF,UT","4109","ALASKA","Reserve","28","@LAA Sun 4:07PM","0","22%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06ibv*","Jesus Made","MIL","SS","4136","Rome","Reserve","19","PHI Sun 2:10PM","0","62%","0%","0/0","0","0","0","0","0","0",".000","0"
"*0527f*","Kevin Made","WSH","2B,SS","4137","KCP","Minors","23","SEA Sun 1:35PM","0","3%","0%","0/0","0","0","0","0","0","0",".000","0"
"*061gx*","Jacob Melton","TB","OF","4417","BOS","Minors","25","@LAA Sun 4:07PM","0","24%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05rhb*","Hendry Mendez","MIN","OF","4425","PAW","Reserve","22","STL Sun 2:10PM","0","14%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05u36*","Aidan Miller","PHI","SS","4503","45s","Minors","22","@MIL Sun 2:10PM","0","55%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05y3q*","Blake Mitchell","KC","C","4534","BOS","Minors","21","HOU Sun 2:10PM","0","25%","0%","0/0","0","0","0","0","0","0",".000","0"
"*05rfc*","Lazaro Montes","SEA","OF","4581","PAW","Minors","21","@WSH Sun 1:35PM","0","46%","0%","0/0","0","0","0","0","0","0",".000","0"
"*06cq8*","Christian Moore","LAA","2B","4599","Rome","Reserve","23","TB Sun 4:07PM","0","42%","0%","0/0","0","0","0","0","0","0",".000","0"
