"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","IP","ERA","WHIP","K","L","QS","K/BB","SVH","H/AB","R","RBI","HR","SB","SO","AVG","OPS","GP"
"*0374m*","Tyler Rogers","TOR","RP","167","KCP","Active","35","NYY Sun 1:37PM","72.65","46%","+1%","33","1.91","1.030","20","2","0","2.00","17","0/0","0","0","0","0","0","0",".000","34"
"*041r1*","Jesus Luzardo","PHI","SP","170","45s","Reserve","28","@MIL Sun 2:10PM","72.48","99%","0%","78.2","4.35","1.335","88","4","6","3.52","0","0/0","0","0","0","0","0","0",".000","14"
"*05sr2*","Michael McGreevy","STL","SP","172","MN","Reserve","25","@MIN Sun 2:10PM","72.25","83%","-1%","72.1","2.99","1.078","49","5","8","2.88","0","0/0","0","0","0","0","0","0",".000","13"
"*03sef*","Seth Lugo","KC","SP","176","GOATS","Reserve","36","HOU Sun 2:10PM","71.92","87%","-3%","79.1","3.86","1.349","66","4","8","2.64","0","0/0","0","0","0","0","0","0",".000","14"
"*03dbm*","Logan Webb","SF","SP","178","SUGA","Active","29","CHC Sun 3:10PM","71.59","99%","0%","67.1","3.88","1.188","58","4","7","3.05","0","0/0","0","0","0","0","0","0",".000","11"
"*05y23*","Tanner Bibee","CLE","SP","182","AKR","Reserve","27","DET Sun 1:40PM","71.2","92%","+1%","84","3.96","1.179","71","7","8","2.73","0","0/0","0","0","0","0","0","0",".000","15"
"*02n2x*","Paul Sewald","ARI","RP","183","DOB","Reserve","36","@CIN Sun 1:40PM","71.18","80%","0%","25.1","3.20","0.711","28","4","0","4.67","16","0/0","0","0","0","0","0","0",".000","28"
"*041rj*","JoJo Romero","STL","RP","185","SUGA","Active","29","@MIN Sun 2:10PM","71.07","51%","-1%","31.2","3.41","1.200","31","2","0","2.82","17","0/0","0","0","0","0","0","0",".000","32"
"*02c5l*","Luke Weaver","NYM","RP","190","GOATS","Reserve","32","ATL Sun 1:40PM","70.57","34%","0%","30","2.40","0.933","27","1","0","3.38","8","0/0","0","0","0","0","0","0",".000","28"
"*04ew7*","Aaron Ashby","MIL","RP","191","PAW","Active","28","PHI Sun 2:10PM","70.55","71%","-2%","41","2.85","1.390","56","0","0","2.80","2","0/0","0","0","0","0","0","0",".000","30"
"*05gef*","Cade Cavalli","WSH","SP","193","Rome","Reserve","27","SEA Sun 1:35PM","70.41","81%","-4%","74.2","3.98","1.393","81","4","5","3.24","0","0/0","0","0","0","0","0","0",".000","15"
"*04mnw*","Ryan Weathers","NYY","SP","194","PAW","Reserve","26","@TOR Sun 1:37PM","70.24","93%","-1%","74.1","4.36","1.170","81","5","4","3.86","0","0/0","0","0","0","0","0","0",".000","13"
"*060ml*","Huascar Brazoban","NYM","SP,RP","196","KCP","Reserve","36","ATL Sun 1:40PM","70.15","12%","-2%","34.2","2.08","0.981","30","1","0","2.00","5","0/0","0","0","0","0","0","0",".000","29"
"*064zm*","Didier Fuentes","ATL","SP,RP","199","AKR","Active","20","@NYM Sun 1:40PM","69.99","54%","0%","28","2.25","1.036","33","0","0","3.67","6","0/0","0","0","0","0","0","0",".000","20"
"*04pr8*","Taj Bradley","MIN","SP","201","AKR","Active","25","STL Sun 2:10PM","69.8","94%","-1%","65","4.02","1.385","73","3","5","2.52","0","0/0","0","0","0","0","0","0",".000","12"
"*02zoa*","Antonio Senzatela","COL","SP,RP","208","KCP","Reserve","31","@ATH Sun 3:05PM","69.42","49%","-4%","38.1","2.11","1.017","32","0","0","2.91","5","0/0","0","0","0","0","0","0",".000","20"
"*0629b*","Walbert Urena","LAA","SP","210","ALASKA","Reserve","22","TB Sun 4:07PM","69.25","63%","+1%","55.1","2.44","1.355","55","4","5","1.67","1","0/0","0","0","0","0","0","0",".000","12"
"*04yie*","George Kirby","SEA","SP","212","Rome","Active","28","@WSH Sun 1:35PM","69.16","99%","0%","84","4.07","1.310","74","6","7","3.52","0","0/0","0","0","0","0","0","0",".000","14"
"*04ej3*","Riley O'Brien","STL","RP","216","SUGA","Active","31","@MIN Sun 2:10PM","68.86","92%","-1%","30.1","3.86","1.220","32","3","0","3.20","18","0/0","0","0","0","0","0","0",".000","30"
"*025it*","Jason Adam","SD","RP","218","GOATS","Active","34","@BAL Sun 1:35PM","68.82","46%","-1%","25","1.44","1.200","17","1","0","2.13","15","0/0","0","0","0","0","0","0",".000","28"
"*041r5*","Dustin May","STL","SP","219","AKR","Reserve","28","@MIN Sun 2:10PM","68.81","74%","+2%","72.2","4.21","1.252","66","6","8","3.30","0","0/0","0","0","0","0","0","0",".000","13"
