#,Name,Age,Level,Team,Pos,Avg Rank,Coverage,Consensus,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt,LFX
"138","Jason Schiavone","23","AA","HOU","C","223.5","8","Tight","207","","97","160","273","","94",""
"139","Hendry Mendez","22","AAA","MIN","LF","223.8","8","Split","194","","93","121","107","54","",""
"140","Edison Vivas","20","A+","NYY","DH","","1","","","","","","224","","",""
"141","Franklin Primera","19","A","BOS","C","224.9","7","Split","422","","83","268","50","","39",""
"142","Jake Munroe","22","AA","LAA","3B","227.6","7","Moderate","173","","","105","119","84","",""
"143","Dylan O'Rae","22","AA","MIL","2B","229.6","8","Moderate","210","","","70","212","","",""
"144","Nelson Rada","20","AAA","LAA","CF","230.4","8","Split","109","","21","37","78","","",""
"145","Adrian Santana","20","A+","TBR","SS","230.8","8","Tight","162","","","189","293","","",""
"146","Patrick Clohisy","24","AAA","ATL","CF","233.3","7","Tight","98","84","","252","249","","",""
"147","James Triantos","","MLB","CHC","2B","237.8","5","Split","","59","","","66","","",""
"148","Yunior Severino","26","AAA","MIN","RF","","1","","","","","","238","","",""
"149","Juan Ortuno","19","A","MIL","2B","238.4","7","Moderate","408","96","","254","206","","",""
"150","Yonathan Perlaza","27","AAA","SDP","RF","","1","","","","","","241","","",""
"151","Juan Villavicencio","21","A+","PHI","SS","241.4","7","Tight","156","","","193","397","","",""
"152","Joshua Kuroda-Grauer","23","MLB","ATH","SS","241.7","7","Moderate","230","","","162","434","","",""
"153","Demetrio Crisantes","21","AAA","ARI","2B","246.3","8","Split","509","","","44","106","35","","63"
"154","Boston Baro","21","A+","NYM","3B","","2","","","40","","","453","","",""
"155","Drew Cavanaugh","24","MLB","SFG","C","247.6","7","Tight","185","","","129","373","","",""
"156","Dauri Fernandez","19","A","CLE","SS","249.1","8","Moderate","137","5","","405","184","","",""
"157","Jonah Cox","24","MLB","SFG","CF","250.0","7","Moderate","84","","","132","555","62","",""
"158","Johan De Los Santos","17","A","PIT","2B","250.1","7","Split","133","","49","287","37","","",""
"159","Brett Callahan","24","AAA","DET","RF","250.4","8","Tight","254","61","","379","195","","",""
"160","Ty Southisene","20","A+","CHC","2B","250.8","7","Moderate","215","","","101","246","","",""
"161","Ryan Waldschmidt","23","MLB","ARI","LF","251.0","5","Tight","239","","","246","132","","",""
"162","Jesus Baez","21","AA","STL","SS","251.3","8","Split","168","","36","94","123","45","",""
"163","Anthony Huezo","20","AAA","HOU","CF","251.6","8","Moderate","282","8","","232","165","","",""
"164","Manuel Campos","18","A","ATL","SS","","2","","","","","","331","","",""
"165","Cole Mathis","22","A+","NYM","3B","257.3","8","Tight","288","","","356","182","","",""
"166","Blake Mitchell","21","A+","KCR","C","258.9","8","Moderate","197","","","343","161","","",""
"167","Jose Mejia","20","A+","ARI","3B","259.8","8","Moderate","174","","","123","275","82","",""
"168","Ike Irish","22","A+","BAL","C","260.3","7","Moderate","191","","","540","267","","","57"
"169","Carlos Sanchez","21","AA","CIN","3B","261.2","8","Moderate","221","","70","96","447","","",""
"170","Luis Cova","19","A","MIA","CF","261.4","7","Moderate","170","","","242","260","","38",""
"171","Enddy Azocar","19","A+","BOS","CF","262.8","8","Split","105","","61","99","109","","",""
"172","Starlyn Caba","20","A+","MIA","SS","263.6","8","Moderate","104","","","122","332","","",""
"173","Edian Espinal","21","A+","DET","2B","266.2","6","Moderate","283","","","154","194","","",""
"174","Ryan Burrowes","21","AA","CHW","2B","267.6","7","Tight","232","","","113","460","","",""
"175","Luis Fragoza","19","A","MIN","LF","267.7","7","Moderate","99","","","274","251","","",""
"176","Handelfry Encarnacion","19","A","MIL","CF","269.2","8","Tight","295","","","299","295","","",""
"177","Alfonsin Rosario","22","AAA","CLE","CF","271.3","8","Split","489","","","97","62","","",""
"178","Dean Curley","22","AA","CLE","SS","273.3","7","Moderate","386","","","76","481","","",""
"179","Tai Peete","20","A+","STL","CF","273.8","8","Moderate","67","","","369","271","","",""
"180","Sam Petersen","23","AA","WSN","CF","274.2","7","Moderate","208","80","","298","158","","",""
"181","Easton Shelton","20","A+","LAD","1B","274.4","8","Split","40","68","55","470","201","","",""
"182","Max Anderson","24","AAA","DET","2B","276.4","8","Split","80","","","213","155","","",""
"183","Sterlin Thompson","25","MLB","COL","LF","276.6","7","Split","413","","","310","108","46","97",""
"184","Aron Estrada","21","AA","BAL","2B","278.4","8","Split","219","","90","177","68","","",""
"185","Jared Thomas","22","AA","COL","C","","3","","","","","","359","","",""
"186","Kemp Alderman","23","AAA","MIA","RF","280.1","8","Split","141","72","","387","65","","",""
"187","Josue Briceno","21","AA","DET","C","280.7","6","Split","125","","","23","26","","","27"
"188","Brandon Winokur","21","AA","MIN","CF","281.3","8","Moderate","279","","","247","229","","",""
"189","Ramon Ramirez","21","A+","KCR","C","281.5","8","Moderate","292","","","220","211","","",""
"190","Deyvison De Los Santos","23","MLB","MIA","1B","281.7","7","Split","220","","","202","73","","",""
"191","Bryce Rainer","20","A+","DET","SS","282.4","8","Moderate","332","","","389","148","","","26"
"192","Kellon Lindsey","20","A","LAD","SS","284.6","8","Moderate","107","","","297","433","","",""
"193","Jaden Fauske","19","A","CHW","CF","285.1","7","Tight","384","","","272","222","","",""
"194","Luke Stevenson","21","A+","SEA","C","285.3","7","Tight","204","","","283","270","","",""
"195","Won-Bin Cho","22","AA","STL","CF","285.5","8","Moderate","251","","69","191","498","","",""
"196","Devin Taylor","22","AA","ATH","LF","286.3","8","Moderate","198","","96","205","307","","",""
"197","Luis Guanipa","20","A","ATL","RF","287.5","7","Moderate","182","","","374","514","","",""
"198","Nick Morabito","23","MLB","NYM","CF","289.0","7","Moderate","178","","","119","349","","",""
"199","Owen Ayers","25","AAA","CHC","C","289.3","8","Moderate","246","","","176","76","","","78"
"200","Ethan Anderson","22","AA","BAL","C","289.9","7","Moderate","206","","","153","193","","",""
"201","Jonah Advincula","25","AA","CLE","LF","291.7","6","Split","351","82","","62","327","","32",""
"202","Geraldo Quintero","24","AA","ATL","LF","","1","","","","","","292","","",""
"203","Abimelec Ortiz","24","MLB","WSN","1B","292.6","7","Moderate","342","","","335","59","","",""
"204","Ramiro Dominguez","19","A","MIN","2B","292.7","7","Moderate","171","","","293","210","","",""
"205","Jack Winnay","23","AA","BOS","3B","294.2","6","Moderate","409","","","150","244","","",""
"206","Ching-Hsien Ko","19","A","LAD","LF","294.3","8","Split","76","","","270","139","","",""
"207","JD Dix","20","A+","ARI","2B","295.2","8","Moderate","248","","95","258","436","","",""
"208","Trevor Cohen","22","AA","SFG","CF","297.2","8","Tight","349","","","133","488","","",""
"209","Lonnie White Jr.","23","AA","PIT","CF","298.2","8","Tight","312","","","239","454","","",""
"210","Ronny Hernandez","21","A+","BOS","C","299.2","8","Split","108","","","48","226","52","",""
"211","Nolan Schubart","22","AA","CLE","1B","301.9","7","Moderate","124","","","148","234","","",""
"212","Ryan Mitchell","19","A","STL","SS","302.0","7","Moderate","58","","","346","284","","",""
"213","Spencer Jones","25","MLB","NYY","CF","303.3","7","Split","237","","","520","17","","",""
"214","Luis Arana","18","A","MIA","3B","304.4","7","Moderate","117","","","289","202","","",""
"215","Carlos Tejera","17","CPX","PIT","CF","","2","","","","","","361","","",""
"216","Jimmy Crooks","24","MLB","STL","C","306.6","7","Moderate","52","","","245","205","","",""
"217","Marco Luciano","24","MLB","NYY","LF","306.7","7","Moderate","154","","","331","104","","",""
"218","Brandon Butterworth","23","AA","BAL","2B","307.1","7","Moderate","328","","","286","321","","52",""
"219","Jacob Melton","25","MLB","TBR","CF","308.0","8","Split","319","4","","589","94","","",""
"220","Isaiah Drake","20","A+","ATL","CF","309.8","8","Moderate","94","","94","383","328","","",""
"221","Aaron Walton","22","AA","CLE","CF","310.1","7","Moderate","449","","","86","456","","",""
"222","Diego Velasquez","22","AA","SFG","2B","311.8","7","Tight","223","","","188","421","","",""
"223","Tyler Rodriguez","20","A+","MIL","LF","312.4","7","Moderate","626","","","138","255","","91",""
"224","Henry Godbout","22","A+","BOS","2B","312.6","7","Moderate","265","","","366","289","66","",""
"225","Christopher Suero","22","AA","NYM","C","315.5","6","Moderate","201","","","206","61","","",""
"226","Andres Valor","20","A","MIA","RF","316.3","7","Moderate","209","31","","555","214","","",""
"227","Carlos Virahonda","20","A+","ARI","C","316.5","7","Split","139","","","108","146","43","",""
"228","Wilson Rodriguez","21","A+","NYY","LF","317.9","7","Tight","244","","","342","542","","",""
"229","Enrique Jimenez","20","A+","MIN","C","318.0","6","Moderate","184","","","145","192","","",""
"230","Parks Harber","24","AAA","SFG","3B","318.4","8","Moderate","231","63","","320","157","","",""
"231","Scott Bandura","24","AAA","SFG","LF","319.0","7","Tight","259","","","279","534","","",""
"232","Will Sanders","24","AAA","CHC","SP","","1","","","","","","320","","",""
