day,mlbam_id,name,role,level,score_030,score_031,delta,rank_030,rank_031,class,continuity_floor_applied,arm_b_buckets
2026-07-26,703198,Kenni Gomez,hitter,AA,1.87,0.79,-1.08,2110,2244,unintended,False,thin_current_sample_confidence
2026-07-26,700784,Jeron Williams,hitter,AA,0.61,0.64,0.03,2218,2259,unintended,False,thin_current_sample_confidence
2026-07-26,680846,Pablo Aliendo,hitter,AA,0.54,0.56,0.02,2224,2267,unintended,False,thin_current_sample_confidence
2026-07-26,827637,Dalton McIntyre,hitter,AA,0,0.53,0.53,2325,2268,unintended,False,moderate_thin_sample_confidence
2026-07-26,806927,Luis De La Cruz,pitcher,A+,0,0.51,0.51,2759,2270,unintended,False,moderate_thin_sample_confidence
2026-07-26,683061,Alexander Vargas,hitter,AA,0.45,0.47,0.02,2232,2273,unintended,False,thin_current_sample_confidence
2026-07-26,811229,Ubert Mejias,pitcher,A+,0,0.46,0.46,2867,2276,unintended,False,moderate_thin_sample_confidence
2026-07-26,806998,Hendry Chivilli,pitcher,A,0.43,0.4,-0.03,2235,2280,unintended,False,thin_current_sample_confidence
2026-07-26,822163,Kellan Oakes,pitcher,A+,0,0.34,0.34,2744,2285,unintended,False,moderate_thin_sample_confidence
2026-07-26,696020,Raudelis Martinez,hitter,AA,0.32,0.33,0.01,2241,2286,unintended,False,thin_current_sample_confidence
2026-07-26,821092,Dalvinson Reyes,pitcher,A,0.19,0.16,-0.03,2256,2305,unintended,False,thin_current_sample_confidence
2026-07-26,808333,Dariel Francia,pitcher,A,0.13,0.15,0.02,2265,2306,unintended,False,thin_current_sample_confidence
2026-07-26,699305,Diego Mosquera,hitter,AA,2.57,0,-2.57,2059,2369,unintended,False,thin_current_sample_confidence
2026-07-26,687248,Keshawn Ogans,hitter,AAA,3.41,0,-3.41,1935,2433,unintended,False,thin_current_sample_confidence
2026-07-26,694204,Maikol Hernández,hitter,AAA,0.18,0,-0.18,2258,2449,unintended,False,thin_current_sample_confidence
2026-07-26,692366,Onil Perez,hitter,AA,1.57,0,-1.57,2133,2468,unintended,False,thin_current_sample_confidence
2026-07-26,815084,Ben Simon,pitcher,AAA,5.1,0,-5.1,1718,2545,unintended,False,thin_current_sample_confidence
2026-07-26,682981,Derek Diamond,pitcher,AAA,2.62,0,-2.62,2051,2606,unintended,False,thin_current_sample_confidence
2026-07-26,828506,Joey Danielson,pitcher,AA,0.49,0,-0.49,2226,2714,unintended,False,thin_current_sample_confidence
2026-07-26,681328,Jonny Cuevas,pitcher,AAA,2.83,0,-2.83,2027,2718,unintended,False,thin_current_sample_confidence
2026-07-26,687881,Kenten Egbert,pitcher,AAA,0.71,0,-0.71,2206,2748,unintended,False,thin_current_sample_confidence
2026-07-26,692589,Victor Juarez,pitcher,AAA,6.67,0,-6.67,1569,2869,unintended,False,thin_current_sample_confidence
2026-07-27,816113,Eli Willits,hitter,A+,67.97,68.3,0.33,2,2,unintended,False,
2026-07-27,703155,Lazaro Montes,hitter,AAA,40.76,41.85,1.09,41,38,unintended,False,
2026-07-27,815394,Theo Gillen,hitter,AA,39.46,40.16,0.7,48,44,unintended,False,
2026-07-27,703596,Karson Milbrandt,pitcher,AAA,31.56,34.86,3.3,103,60,unintended,False,moderate_thin_sample_confidence
2026-07-27,815785,Braylon Doughty,pitcher,AA,33.86,34.55,0.69,66,62,unintended,False,
2026-07-27,815352,Caleb Bonemer,hitter,AA,33.35,33.95,0.6,75,68,unintended,False,
2026-07-27,803849,Devin Fitz-Gerald,hitter,AA,30.48,33.76,3.28,115,69,unintended,False,
2026-07-27,694211,Manuel Pena,hitter,AAA,28.33,33.32,4.99,160,79,unintended,False,
